car_name,brand,model,variant,launch_year,body_type,seating_capacity,fuel_type,transmission_type,drivetrain,engine_displacement_cc,no_cylinder,turbocharged,max_power_bhp,max_power_rpm,max_torque_nm,max_torque_rpm,mileage_kmpl,city_mileage_kmpl,highway_mileage_kmpl,fuel_tank_capacity_liters,boot_space_liters,ground_clearance_mm,length_mm,width_mm,height_mm,wheelbase_mm,kerb_weight_kg,safety_rating,airbags_count,adas_level,abs,esc,hill_assist,tpms,sunroof,infotainment_size_inch,android_auto,apple_carplay,connected_car_tech,ventilated_seats,automatic_climate_control,cruise_control,drive_modes,rear_ac_vents,third_row_ac,alloy_wheels,led_headlamps,maintenance_score,reliability_score,resale_score,city_driving_score,highway_driving_score,family_comfort_score,feature_score,performance_score,economy_score,safety_score,premium_feel_score,offroad_score,ownership_cost_score,service_network_score,sales_last_month,waiting_period_days,starting_price,ending_price,ex_showroom_price_avg,on_road_price_avg,ncap_source,user_review_score,target_persona,best_use_case,worst_tradeoff
Tata Tiago,Tata,Tiago,XZA Plus,2024,Hatchback,5,Petrol,Automatic,FWD,1199,3,No,85,6000,113,3300,20.09,17.01,19.01,35,242,170,3765,1677,1537,2400,1035,4,6,0,Yes,Yes,Yes,Yes,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,8,9,6,8,9,7,9,9,9,3,9,8,250,25,582000,860000,705000,840000,Global NCAP,4.5,City Commuter,Urban Daily Driving,Rear-seat space
Toyota Innova,Toyota,Innova Hycriss,GX AT,2024,MPV,7,Diesel,Automatic,RWD,2393,4,Yes,172,3400,410,1400,21.1,18.5,22.3,50,234,183,4585,1830,1795,2750,1820,5,7,0,Yes,Yes,Yes,Yes,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7,9,9,7,9,10,8,8,8,9,8,8,7,9,144,20,1856000,2344000,2160000,2400000,ASEAN NCAP,4.8,Family Buyer,City + Highway Family Usage,High running cost
Kia Carens,Kia,Carens,Prestige Plus DCT,2024,MPV,7,Electric,Automatic,FWD,1497,4,No,114.4,6300,143.8,4500,18.4,15.5,20.1,50,248,190,4525,1800,1700,2780,1260,5,6,1,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,8,9,8,9,10,8,8,9,9,2,8,9,115,22,1363000,1742000,1565000,1760000,Global NCAP,4.5,Family Buyer,City + Highway Family Usage,Premium feel
Tata Harrier,Tata,Harrier,Fearless Plus AT,2024,SUV,5,Diesel,Automatic,FWD,1956,4,Yes,168,3750,350,1750,16.8,14.2,18.3,50,425,205,4314,1894,1706,2741,1730,5,7,0,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,7,7,7,7,9,8,7,9,8,6,7,8,190,22,1498000,2202000,1850000,2120000,Global NCAP,4.5,Practical Buyer,City + Highway Usage,Average refinement
Mahindra XUV,Mahindra,XUV700,AX7 AT,2024,SUV,5,Diesel,Automatic,FWD,2184,4,Yes,182,3750,450,2750,18.6,15.5,20.8,60,709,200,4695,1975,1755,2750,1860,5,7,0,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7,9,9,7,9,10,9,9,9,10,9,8,7,9,215,18,1618000,2388000,1940000,2250000,Global NCAP,4.4,Practical Buyer,City + Highway Usage,Premium feel
Toyota Hyryder,Toyota,Urban Cruiser Hyryder,V Hybrid AT,2024,SUV,5,Hybrid,Automatic,FWD,1490,4,No,91,5500,122,4000,27.0,24.0,28.5,45,373,210,4365,1795,1645,2600,1290,5,6,1,Yes,Yes,Yes,Yes,Yes,9,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9,9,8,9,8,9,9,8,8,9,9,3,8,9,120,20,1610000,1950000,1780000,1980000,Global NCAP,4.5,Family Buyer,City + Highway Efficiency,Limited boot space
MG ZS EV,MG,ZS EV,Exclusive Pro,2024,SUV,5,Electric,Automatic,FWD,0,0,No,176,0,280,0,461 (ARAI),400,500,50,448,177,4323,1809,1649,2585,1620,5,6,1,Yes,Yes,Yes,Yes,Yes,10.1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,8,7,9,8,8,9,8,8,9,9,4,8,8,210,15,2298000,2598000,2440000,2650000,Global NCAP,4.6,Tech-Savvy Buyer,Urban + Highway EV Driving,Charging infrastructure
Tata Punch EV,Tata,Punch EV,Empowered+,2024,SUV,5,Electric,Automatic,FWD,0,0,No,122,0,190,0,421 (MIDC),350,450,35,366,210,3857,1742,1633,2450,1350,5,6,0,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,9,9,9,8,9,9,8,8,9,9,5,9,9,320,10,1099000,1499000,1290000,1450000,Global NCAP,4.7,City Commuter,Urban EV Driving,Range anxiety
BYD Atto 3,BYD,Atto 3,Extended Range,2024,SUV,5,Electric,Automatic,FWD,0,0,No,201,0,310,0,521 (WLTP),450,570,60,440,440,4455,1875,1615,2720,1750,5,7,2,Yes,Yes,Yes,Yes,Yes,12.8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9,9,8,8,9,9,9,9,9,9,9,6,8,8,95,25,3390000,3790000,3590000,3850000,Euro NCAP,4.8,Premium Buyer,Highway + Family EV Touring,High upfront cost
Honda Elevate Hybrid,Honda,Elevate,ZX Hybrid AT,2024,SUV,5,Hybrid,Automatic,FWD,1498,4,No,109,6000,253,4500,25.5,22.0,27.0,40,458,190,4312,1790,1650,2650,1355,5,6,1,Yes,Yes,Yes,Yes,Yes,10.25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8,9,9,8,8,9,9,8,8,9,9,3,8,9,140,18,1490000,1890000,1690000,1890000,ASEAN NCAP,4.6,Family Buyer,City + Highway Hybrid Usage,Less powerful than petrol
